Datetime,Price
2021-03-24 03:35:00,4915.047619047619
2021-03-24 03:36:00,4915.357142857143
2021-03-24 03:37:00,4915.666666666667
2021-03-24 03:38:00,4915.976190476191
2021-03-24 03:39:00,4916.285714285715
2021-03-24 03:40:00,4916.5952380952385
2021-03-24 03:41:00,4916.9047619047615
2021-03-24 03:42:00,4917.214285714285
2021-03-24 03:43:00,4917.523809523809
2021-03-24 03:44:00,4917.833333333333
2021-03-24 03:45:00,4918.142857142857
2021-03-24 03:46:00,4918.452380952381
2021-03-24 03:47:00,4918.761904761905
2021-03-24 03:48:00,4919.071428571428
2021-03-24 03:49:00,4919.380952380952
2021-03-24 03:50:00,4919.690476190476
2021-03-24 03:51:00,4920.0
2021-03-24 03:52:00,4920.142857142857
2021-03-24 03:53:00,4920.285714285715
2021-03-24 03:54:00,4920.428571428572
2021-03-24 03:55:00,4920.571428571428
2021-03-24 03:56:00,4920.714285714285
2021-03-24 03:57:00,4920.857142857143
2021-03-24 03:58:00,4921.0
2021-03-24 03:59:00,4921.142857142857
2021-03-24 04:00:00,4921.285714285715
2021-03-24 04:01:00,4921.428571428572
2021-03-24 04:02:00,4921.571428571428
2021-03-24 04:03:00,4921.714285714285
2021-03-24 04:04:00,4921.857142857143
2021-03-24 04:05:00,4922.0
2021-03-24 04:06:00,4922.142857142857
2021-03-24 04:07:00,4922.285714285715
2021-03-24 04:08:00,4922.428571428572
2021-03-24 04:09:00,4922.571428571428
2021-03-24 04:10:00,4922.714285714285
2021-03-24 04:11:00,4922.857142857143
2021-03-24 04:12:00,4923.0
2021-03-24 04:13:00,4923.142857142857
2021-03-24 04:14:00,4923.285714285715
2021-03-24 04:15:00,4923.428571428572
2021-03-24 04:16:00,4923.571428571428
2021-03-24 04:17:00,4923.714285714285
2021-03-24 04:18:00,4923.857142857143
2021-03-24 04:19:00,4924.0
2021-03-24 04:20:00,4924.142857142857
2021-03-24 04:21:00,4924.285714285715
2021-03-24 04:22:00,4924.428571428572
2021-03-24 04:23:00,4924.571428571428
2021-03-24 04:24:00,4924.714285714285
2021-03-24 04:25:00,4924.857142857143
2021-03-24 04:26:00,4925.0
2021-03-24 04:27:00,4925.142857142857
2021-03-24 04:28:00,4925.285714285715
2021-03-24 04:29:00,4925.428571428572
2021-03-24 04:30:00,4925.571428571428
2021-03-24 04:31:00,4925.714285714285
2021-03-24 04:32:00,4925.857142857143
2021-03-24 04:33:00,4926.0
2021-03-24 04:34:00,4926.142857142857
2021-03-24 04:35:00,4926.285714285715
2021-03-24 04:36:00,4926.428571428572
2021-03-24 04:37:00,4926.571428571428
2021-03-24 04:38:00,4926.714285714285
2021-03-24 04:39:00,4926.857142857143
2021-03-24 04:40:00,4927.0
2021-03-24 04:41:00,4928.0
2021-03-24 04:42:00,4927.714285714285
2021-03-24 04:43:00,4927.428571428572
2021-03-24 04:44:00,4927.142857142857
2021-03-24 04:45:00,4926.857142857143
2021-03-24 04:46:00,4926.571428571428
2021-03-24 04:47:00,4926.285714285715
2021-03-24 04:48:00,4926.0
2021-03-24 04:49:00,4926.0
2021-03-24 04:50:00,4926.0
2021-03-24 04:51:00,4926.0
2021-03-24 04:52:00,4930.0
2021-03-24 04:53:00,4929.0
2021-03-24 04:54:00,4928.0
2021-03-24 04:55:00,4927.0
2021-03-24 04:56:00,4926.0
2021-03-24 04:57:00,4925.0
2021-03-24 04:58:00,4924.0
2021-03-24 04:59:00,4923.0
2021-03-24 05:00:00,4922.333333333333
2021-03-24 05:01:00,4921.666666666667
2021-03-24 05:02:00,4921.0
2021-03-24 05:03:00,4920.0
2021-03-24 05:04:00,4917.0
2021-03-24 05:05:00,4916.625
2021-03-24 05:06:00,4916.25
2021-03-24 05:07:00,4915.875
2021-03-24 05:08:00,4915.5
2021-03-24 05:09:00,4915.125
2021-03-24 05:10:00,4914.75
2021-03-24 05:11:00,4914.375
2021-03-24 05:12:00,4914.0
2021-03-24 05:13:00,4914.0
2021-03-24 05:14:00,4914.0
2021-03-24 05:15:00,4914.0
2021-03-24 05:16:00,4914.0
2021-03-24 05:17:00,4914.0
2021-03-24 05:18:00,4914.0
2021-03-24 05:19:00,4914.0
2021-03-24 05:20:00,4914.0
2021-03-24 05:21:00,4914.0
2021-03-24 05:22:00,4914.0
2021-03-24 05:23:00,4914.0
2021-03-24 05:24:00,4914.0
2021-03-24 05:25:00,4914.0
2021-03-24 05:26:00,4914.0
2021-03-24 05:27:00,4914.0
2021-03-24 05:28:00,4911.333333333333
2021-03-24 05:29:00,4908.666666666667
2021-03-24 05:30:00,4906.0
2021-03-24 05:31:00,4903.0
2021-03-24 05:32:00,4900.0
2021-03-24 05:33:00,4900.0
2021-03-24 05:34:00,4900.0
2021-03-24 05:35:00,4900.0
2021-03-24 05:36:00,4900.0
2021-03-24 05:37:00,4900.0
2021-03-24 05:38:00,4900.0
2021-03-24 05:39:00,4900.0
2021-03-24 05:40:00,4900.0
2021-03-24 05:41:00,4900.0
2021-03-24 05:42:00,4900.0
2021-03-24 05:43:00,4900.0
2021-03-24 05:44:00,4900.0
2021-03-24 05:45:00,4900.0
2021-03-24 05:46:00,4900.0
2021-03-24 05:47:00,4900.0
2021-03-24 05:48:00,4899.72
2021-03-24 05:49:00,4899.44
2021-03-24 05:50:00,4899.16
2021-03-24 05:51:00,4898.88
2021-03-24 05:52:00,4898.6
2021-03-24 05:53:00,4898.32
2021-03-24 05:54:00,4898.04
2021-03-24 05:55:00,4897.76
2021-03-24 05:56:00,4897.48
2021-03-24 05:57:00,4897.2
2021-03-24 05:58:00,4896.92
2021-03-24 05:59:00,4896.64
2021-03-24 06:00:00,4896.36
2021-03-24 06:01:00,4896.08
2021-03-24 06:02:00,4895.8
2021-03-24 06:03:00,4895.52
2021-03-24 06:04:00,4895.24
2021-03-24 06:05:00,4894.96
2021-03-24 06:06:00,4894.68
2021-03-24 06:07:00,4894.4
2021-03-24 06:08:00,4894.12
2021-03-24 06:09:00,4893.84
2021-03-24 06:10:00,4893.56
2021-03-24 06:11:00,4893.28
2021-03-24 06:12:00,4893.0
2021-03-24 06:13:00,4893.6
2021-03-24 06:14:00,4894.2
2021-03-24 06:15:00,4894.8
2021-03-24 06:16:00,4895.4
2021-03-24 06:17:00,4896.0
2021-03-24 06:18:00,4895.921568627451
2021-03-24 06:19:00,4895.843137254902
2021-03-24 06:20:00,4895.764705882353
2021-03-24 06:21:00,4895.686274509804
2021-03-24 06:22:00,4895.607843137255
2021-03-24 06:23:00,4895.529411764706
2021-03-24 06:24:00,4895.450980392156
2021-03-24 06:25:00,4895.3725490196075
2021-03-24 06:26:00,4895.294117647059
2021-03-24 06:27:00,4895.21568627451
2021-03-24 06:28:00,4895.137254901961
2021-03-24 06:29:00,4895.058823529412
2021-03-24 06:30:00,4894.980392156863
2021-03-24 06:31:00,4894.901960784314
2021-03-24 06:32:00,4894.823529411765
2021-03-24 06:33:00,4894.745098039216
2021-03-24 06:34:00,4894.666666666667
2021-03-24 06:35:00,4894.588235294118
2021-03-24 06:36:00,4894.509803921569
2021-03-24 06:37:00,4894.431372549019
2021-03-24 06:38:00,4894.35294117647
